[ 2018-02-23T10:53:19+08:00 ] /admin.php/Login/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 154 行.
[ 2018-02-23T10:53:19+08:00 ] /admin.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.018363s ]
[ 2018-02-23T10:53:19+08:00 ] /admin.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.018479s ]
[ 2018-02-23T10:53:19+08:00 ] /admin.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2018-02-23T10:53:19+08:00 ] /admin.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.001100s ]
[ 2018-02-23T10:53:19+08:00 ] /admin.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.001209s ]
[ 2018-02-23T10:53:19+08:00 ] /admin.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001149s ]
[ 2018-02-23T10:53:19+08:00 ] /admin.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001444s ]
[ 2018-02-23T10:53:19+08:00 ] /admin.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005213s ]
[ 2018-02-23T10:53:19+08:00 ] /admin.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2018-02-23T10:53:19+08:00 ] /admin.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.004030s ]
[ 2018-02-23T10:53:19+08:00 ] /admin.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.004150s ]
[ 2018-02-23T10:53:19+08:00 ] /admin.php/Login/verify | INFO: Tag[ route_check ] --START--
[ 2018-02-23T10:53:19+08:00 ] /admin.php/Login/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001622s ]
[ 2018-02-23T10:53:19+08:00 ] /admin.php/Login/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001808s ]
[ 2018-02-23T10:53:19+08:00 ] /admin.php/Login/verify | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2018-02-23T10:53:19+08:00 ] /admin.php/Login/verify | INFO: Tag[ app_begin ] --START--
[ 2018-02-23T10:53:19+08:00 ] /admin.php/Login/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001509s ]
[ 2018-02-23T10:53:19+08:00 ] /admin.php/Login/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001624s ]
[ 2018-02-23T10:53:29+08:00 ] /admin.php/Login/login | INFO: Tag[ route_check ] --START--
[ 2018-02-23T10:53:29+08:00 ] /admin.php/Login/login | INFO: Run CheckRoute Behavior [ RunTime:0.003702s ]
[ 2018-02-23T10:53:29+08:00 ] /admin.php/Login/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.003836s ]
[ 2018-02-23T10:53:29+08:00 ] /admin.php/Login/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2018-02-23T10:53:29+08:00 ] /admin.php/Login/login | INFO: Tag[ app_begin ] --START--
[ 2018-02-23T10:53:29+08:00 ] /admin.php/Login/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002873s ]
[ 2018-02-23T10:53:29+08:00 ] /admin.php/Login/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003160s ]
[ 2018-02-23T10:53:29+08:00 ] /admin.php/Login/login | NOTIC: [8] Undefined offset: 1 Action.class.php 第 233 行.
[ 2018-02-23T10:53:29+08:00 ] /admin.php/Login/login | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2018-02-23T10:53:29+08:00 ] /admin.php/Login/login | SQL: SHOW COLUMNS FROM `ningbo_admin` [ RunTime:0.001792s ]
[ 2018-02-23T10:53:29+08:00 ] /admin.php/Login/login | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2018-02-23T10:53:29+08:00 ] /admin.php/Login/login | SQL: SELECT * FROM `ningbo_admin` WHERE ( `username` = 'admin' ) LIMIT 1   [ RunTime:0.000482s ]
[ 2018-02-23T10:53:29+08:00 ] /admin.php/Login/login | SQL: UPDATE `ningbo_admin` SET `logintime`=1519354409,`loginip`='127.0.0.1' WHERE ( `id` = '1' ) [ RunTime:0.000490s ]
[ 2018-02-23T10:53:29+08:00 ] /admin.php/Login/login | INFO: Tag[ view_template ] --START--
[ 2018-02-23T10:53:29+08:00 ] /admin.php/Login/login | INFO: Run LocationTemplate Behavior [ RunTime:0.001444s ]
