[ 2018-07-04T20:54:52+08:00 ] /weibo/index.php/Login/index | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-07-04T20:54:52+08:00 ] /weibo/index.php/Login/index | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-07-04T20:54:52+08:00 ] /weibo/index.php/Login/index | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-07-04T20:54:52+08:00 ] /weibo/index.php/Login/index | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-07-04T20:54:52+08:00 ] /weibo/index.php/Login/index | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead ThinkTemplate.class.php 第 220 行.
[ 2018-07-04T20:54:52+08:00 ] /weibo/index.php/Login/index | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead ThinkTemplate.class.php 第 154 行.
[ 2018-07-04T20:54:52+08:00 ] /weibo/index.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.011490s ]
[ 2018-07-04T20:54:52+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.011610s ]
[ 2018-07-04T20:54:52+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2018-07-04T20:54:52+08:00 ] /weibo/index.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.002003s ]
[ 2018-07-04T20:54:52+08:00 ] /weibo/index.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.000537s ]
[ 2018-07-04T20:54:52+08:00 ] /weibo/index.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000398s ]
[ 2018-07-04T20:54:52+08:00 ] /weibo/index.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000549s ]
[ 2018-07-04T20:54:52+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003646s ]
[ 2018-07-04T20:54:52+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2018-07-04T20:54:52+08:00 ] /weibo/index.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000499s ]
[ 2018-07-04T20:54:52+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000547s ]
[ 2018-07-04T20:55:31+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2018-07-04T20:55:31+08:00 ] /weibo/index.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.000772s ]
[ 2018-07-04T20:55:31+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000829s ]
[ 2018-07-04T20:55:31+08:00 ] /weibo/index.php/Login/index | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2018-07-04T20:55:31+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2018-07-04T20:55:31+08:00 ] /weibo/index.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000637s ]
[ 2018-07-04T20:55:31+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000674s ]
[ 2018-07-04T20:55:31+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2018-07-04T20:55:31+08:00 ] /weibo/index.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000678s ]
[ 2018-07-04T20:55:31+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000717s ]
[ 2018-07-04T20:55:31+08:00 ] /weibo/index.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2018-07-04T20:55:31+08:00 ] /weibo/index.php/Login/index | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2018-07-04T20:55:31+08:00 ] /weibo/index.php/Login/index | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-07-04T20:55:31+08:00 ] /weibo/index.php/Login/index | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-07-04T20:55:31+08:00 ] /weibo/index.php/Login/index | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-07-04T20:55:31+08:00 ] /weibo/index.php/Login/index | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-07-04T20:55:31+08:00 ] /weibo/index.php/Login/index | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-07-04T20:55:31+08:00 ] /weibo/index.php/Login/index | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-07-04T20:55:31+08:00 ] /weibo/index.php/Login/index | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-07-04T20:55:31+08:00 ] /weibo/index.php/Login/index | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-07-04T20:55:31+08:00 ] /weibo/index.php/Login/index | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2018-07-04T20:55:31+08:00 ] /weibo/index.php/Login/index | NOTIC: [2] preg_replace(): The /e modifier is no longer supported, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
